authorName
"Wood, Nancy V."
MacMillian Great Writers Library
"Halliday, Arthur W."
Benjamin Moore & Co.
"Harlow, Rosie"
"Sederer, Lloyd I."
"Reuben, Shelly"
Jim
"Moloney, Francis J."
Paul S Newman
"Bradley, Edward S."
Larry DiAngi
"Marcil, Chris"
Dr. Ron Jenson
"Cox, Meg"
"Cutler, Catherine"
"Wagner, Frederic H."
"Rabkin, Jeremy A."
"Simpson, O. J."
"McMenamin, Paul"
"Massey, James C."
"Jacobs, Leo M."
"Poortvliet, Rien"
"Jankovics, Gyorgy"
Nick McCarty
"Pinkwater, Daniel Manus"
"Kang-u, Coleman"
"Crowley, John"
"Twomey, Anne"
"Weinhold, Janae B."
"Senske, Kurt"
"Burke, David"
"Wayne, Stephen J."
"Giller, W."
"Perrin, Wendy"
"Fiszer, Louise"
"Singer, Kurt"
"Sky, David E."
"Miller, Lillian B."
Focus on the Family
"Clancy, Flora S."
"Ray, David"
"Shah, Idries"
"Creech, Nancy"
"Aardema, Verna"
"Simpson, Judith"
"Hirsch, Mark G."
"Knight, Tim"
"Weissman, Bari"
"Caron, Ann F."
"McCauley, Adam"
"Miller, Stephen"
"Mische, Michael A."
"Kunkel, Paul"
"Rackham, Arthur"
"Lightburn, Ron"
"Ursu, Anne"
Creating Keepsakes
"Brown, Bobbi"
"Stevens, Janet"
"Ross, Alex"
Barbara Brenner~J. Winslow Higginbottom
"Corbett, Michael"
"Dubowski, Mark"
"Gayton, Kim E."
"Rosenfeld, Lucy D."
"Ayers, Dottie"
"Caldwell, Kristy"
"Rhonda Markowitz, Tom DeMichael"
Roy (Editor) Wilkinson
"Barrett, Judi"
"Rasmussen, R. Kent"
Antonia Fraser
"Corby, Tom"
"Waldman, Jackie"
"Kane, Alex"
"Rosen, Michael"
"Frommer, Myrna Katz"
"Purcell, Lisa"
"Lagerborg, Mary Beth"
"Contant, Terry L."
"Escholtz, Paul A."
"Hudson, William J."
"Scott, Pamela"
Junior League of Richmond
"Thaler, Mike"
"Rutherfurd, Edward"
"Wright, Stephen"
"Woods, William A."
"Brandt, Keith"
"Zickefoose, Julie"
"Rubel, Nicole"
No Author Credited
"Day, Betsy"
"Strasser, Todd"
"American College of Obstetricians, Gynecologists"
"Kent, Jack"
"Rapoprot, Maxine"
"Catford, Lorna R."
Jerry West
"Mann, John David"
"Anner, John"
"Overfield, James H."
"Markle, Sandra"
"Petyhyrycz, Bohan"
"Mackerel, Seymour"
"Lalande, John F."
"Kuper, Peter"
"Floyd, Ronnie W."
"Beachy, Mary Ellen"
"Congyun, Lei"
"Gorton, Paul"
"Kelly, Chris"
"McInerney, Thomas"
American Heritage Dictionary
"Yates, Richard"
"Ashkenazy, Vladimir"
"Weinstein, Howard"
"Taylor, Janelle"
"KRIEGER, Dolores"
"Sambrook, Clare"
"Christmas, Joyce"
"Lacome, Susie"
"Cunningham, Eleanor W"
"Stanmark, Jean Kerr"
"Morrow, Monica"
"Bugg, Bill"
"Barker, Nicholas"
"Lattimer, John K."
"Chervin, Ronda De Sola"
Terry. H. Stickels
"Souza, Pete"
"Symes, R. F."
"Shapiro, Michael"
"Sweeney, Mary E."
"Dolezal, Robert"
"Sabin, Francene"
David Roberts
"Payne, Susan Carlisle"
Kathy Collard Miller
"Pennock, Michael Francis"
Jean Fritz
"Clarke, Jason"
"Makov, Fastball"
"GILES, FRANK"
"McDonough, Vickie"
"Newman, Kim"
"Bowman, Amy"
"Martin, Del"
"Holeman, Linda"
"Bloch, Gordon Bakoulis"
"Hahn, Scott"
"Lindgren, Astrid"
"McClure, Vimala Schneider"
"Cousins, Lucy"
Charlie Riggs
Curtis Mitchell
Kathleen Daly
"Wessells, Katharine"
Marc Tolon Brown
"Langley, Stephanie"
"Pettit, Michael"
"Karen K., Hunter"
"Mandell, Muriel"
Mary Esther McWhirter
"Schmitt, Barton D."
"Eugene Bradley Coco, J.M. Barrie"
"Bale, Karen A."
Tupperware
Stephanie St. Pierre
"Root, Kimberly Bulcken"
"Sharpe, Jim"
"Smith, Sarah Putnam"
"Larsen, Carolyn"
"White, Kaye Pomaranc"
"Denise Rinaldo, Rigoberta Menchu"
"Gieseking, Hal"
"Morzollo, Jean"
"Van Der Linden, F. Robert"
"Settles, W. Calvin"
"Shephard, Carroll A."
"Jeunesse, Gallimard"
"Wellman, Sam"
"Yardley, Joanna"
"Erickson, Paul"
"Rowland-Entwistle, Theodore"
"Carpenter, Thomas"
"Conner, Eulala"
"Abitz, Diana"
"Bruce Bliven, JR"
"Busiek, Kurt"
"Colleen L Reece, Anita Corrine Donihue"
"Potter, Tony"
"McKeever, Sean"
Juli Barbato
"Brown, Duanne"
"Coco, Eugene"
Tom Collins
"Hollich, Franz"
"Gruber, Michael"
"Hotze, Steven F."
Walter F. Ballinger
"Feiveson, Harold A."
"Cross, Amy Willard"
"Nguygen, Sy"
"Donald Robert Stoltz, Marshall Stoltz"
"Parker, Jeff"
"Benson, Jackson J."
"Straus, Hal"
DICKINSON COLLEGE
"Stubbs, Kenneth Ray"
Collins Publishers San Francisco
"Curtis, Lynn A."
"Loebelsohn, Lori"
"Nathan, Joan"
"Fleishman, Michael"
"Lawrence, Michael"
"Muller, Romeo"
"Abbott, Margot"
"Gier, Scott G."
"National Geographic Society (U. S.), Aikman"
Bottom
"Wynett, Craig"
Max Eckert
Stan & Jan Berenstain
"Tierney, John Marion"
"Kruchten, Philippe"
"Carter, Abby"
"Sanderson, Ruth"
"Fitzsimmons, Robin"
"Gibson, James L."
Elizabeth K. Cooper
